species	qma	stat	zone
PAD	PAD7	038	038
PAD	PAD7	017	038
PAD	PAD7	701	036
PAD	PAD7	706	033
PAD	PAD3	301	024
PAD	PAD3	018	018
PAD	PAD3	020	020
PAD	PAD3	023	022
PAD	PAD3	022	022
PAD	PAD3	024	024
PAD	PAD3	026	026
PAD	PAD3	027	026
PAD	PAD3	303	026
PAD	PAD3	302	026
PAD	PAD3	019	018
PAD	PAD3	021	020
PAD	PAD9	102	046
PAD	PAD9	103	047
PAD	PAD9	041	042
PAD	PAD9	042	042
PAD	PAD9	046	046
PAD	PAD9	044	045
PAD	PAD9	043	042
PAD	PAD9	048	048
PAD	PAD9	047	047
PAD	PAD9	101	042
PAD	PAD9	104	048
PAD	PAD9	045	045
PAD	PAD1	107	008
PAD	PAD1	004	004
PAD	PAD1	008	008
PAD	PAD1	006	005
PAD	PAD1	007	005
PAD	PAD1	009	009
PAD	PAD1	010	010
PAD	PAD1	009H	009
PAD	PAD1	003	003
PAD	PAD1	005	005
PAD	PAD1	106	002
PAD	PAD1	001	001
PAD	PAD1	002	002
PAD	PAD1	105	001
PAD	PAD2	203	013
PAD	PAD2	202	012
PAD	PAD2	204	014
PAD	PAD2	201	011
PAD	PAD2	011	011
PAD	PAD2	012	012
PAD	PAD2	015	015
PAD	PAD2	018	015
PAD	PAD2	016	015
PAD	PAD2	017	015
PAD	PAD2	013	013
PAD	PAD2	014	014
PAD	PAD2	205	015
PAD	PAD2	206	015
PAD	PAD2	019	015
PAR	PAR10	092	091
PAR	PAR10	091	091
PAR	PAR10	093	091
PAR	PAR10	094	091
PAR	PAR9	102	046
PAR	PAR9	103	047
PAR	PAR9	041	042
PAR	PAR9	042	042
PAR	PAR9	046	046
PAR	PAR9	044	045
PAR	PAR9	043	042
PAR	PAR9	048	048
PAR	PAR9	047	047
PAR	PAR9	101	042
PAR	PAR9	104	048
PAR	PAR9	045	045
PAR	PAR1	107	008
PAR	PAR1	004	004
PAR	PAR1	008	008
PAR	PAR1	006	005
PAR	PAR1	007	005
PAR	PAR1	009	009
PAR	PAR1	010	010
PAR	PAR1	009H	009
PAR	PAR1	003	003
PAR	PAR1	005	005
PAR	PAR1	106	002
PAR	PAR1	001	001
PAR	PAR1	002	002
PAR	PAR1	105	001
PAR	PAR2	203	013
PAR	PAR2	412	051
PAR	PAR2	301	024
PAR	PAR2	608	601
PAR	PAR2	602	601
PAR	PAR2	623	601
PAR	PAR2	622	601
PAR	PAR2	625	601
PAR	PAR2	502	030
PAR	PAR2	704	035
PAR	PAR2	202	012
PAR	PAR2	204	014
PAR	PAR2	411	052
PAR	PAR2	615	601
PAR	PAR2	613	601
PAR	PAR2	601	601
PAR	PAR2	618	601
PAR	PAR2	705	034
PAR	PAR2	702	036
PAR	PAR2	410	403
PAR	PAR2	408	401
PAR	PAR2	614	601
PAR	PAR2	616	601
PAR	PAR2	619	601
PAR	PAR2	503	029
PAR	PAR2	703	036
PAR	PAR2	409	403
PAR	PAR2	407	401
PAR	PAR2	609	601
PAR	PAR2	617	601
PAR	PAR2	620	601
PAR	PAR2	607	601
PAR	PAR2	621	601
PAR	PAR2	624	601
PAR	PAR2	201	011
PAR	PAR2	011	011
PAR	PAR2	012	012
PAR	PAR2	015	015
PAR	PAR2	018	015
PAR	PAR2	020	020
PAR	PAR2	023	022
PAR	PAR2	022	022
PAR	PAR2	024	024
PAR	PAR2	026	026
PAR	PAR2	027	027
PAR	PAR2	028	029
PAR	PAR2	031	031
PAR	PAR2	032	032
PAR	PAR2	025	025
PAR	PAR2	033	033
PAR	PAR2	034	034
PAR	PAR2	035	035
PAR	PAR2	036	036
PAR	PAR2	040	040
PAR	PAR2	037	037
PAR	PAR2	039	039
PAR	PAR2	038	038
PAR	PAR2	041	041
PAR	PAR2	049	049
PAR	PAR2	050	050
PAR	PAR2	051	051
PAR	PAR2	052	052
PAR	PAR2	016	015
PAR	PAR2	017	015
PAR	PAR2	029	029
PAR	PAR2	030	030
PAR	PAR2	013	013
PAR	PAR2	014	014
PAR	PAR2	205	015
PAR	PAR2	401	401
PAR	PAR2	402	401
PAR	PAR2	403	403
PAR	PAR2	404	403
PAR	PAR2	801	041
PAR	PAR2	405	049
PAR	PAR2	406	050
PAR	PAR2	206	015
PAR	PAR2	701	036
PAR	PAR2	706	033
PAR	PAR2	501	031
PAR	PAR2	603	601
PAR	PAR2	504	027
PAR	PAR2	303	026
PAR	PAR2	606	601
PAR	PAR2	610	601
PAR	PAR2	612	601
PAR	PAR2	604	601
PAR	PAR2	302	026
PAR	PAR2	605	601
PAR	PAR2	611	601
PAR	PAR2	019	015
PAR	PAR2	021	020
PAU	PAU1	102	046
PAU	PAU1	103	047
PAU	PAU1	107	008
PAU	PAU1	004	004
PAU	PAU1	008	008
PAU	PAU1	006	005
PAU	PAU1	007	005
PAU	PAU1	009	009
PAU	PAU1	010	010
PAU	PAU1	041	042
PAU	PAU1	042	042
PAU	PAU1	046	046
PAU	PAU1	044	045
PAU	PAU1	043	042
PAU	PAU1	009H	009
PAU	PAU1	003	003
PAU	PAU1	005	005
PAU	PAU1	106	002
PAU	PAU1	001	001
PAU	PAU1	048	048
PAU	PAU1	047	047
PAU	PAU1	002	002
PAU	PAU1	105	001
PAU	PAU1	101	042
PAU	PAU1	104	048
PAU	PAU1	045	045
PAU	PAU6	704	035
PAU	PAU6	705	034
PAU	PAU6	032	032
PAU	PAU6	033	033
PAU	PAU6	034	034
PAU	PAU6	035	035
PAU	PAU6	706	033
PAU	PAU5B	026	025
PAU	PAU5B	027	027
PAU	PAU5B	025	025
PAU	PAU5B	504	027
PAU	PAU4	412	051
PAU	PAU4	411	052
PAU	PAU4	410	403
PAU	PAU4	408	401
PAU	PAU4	409	403
PAU	PAU4	407	401
PAU	PAU4	049	049
PAU	PAU4	050	050
PAU	PAU4	051	051
PAU	PAU4	052	052
PAU	PAU4	401	401
PAU	PAU4	402	401
PAU	PAU4	403	403
PAU	PAU4	404	403
PAU	PAU4	405	049
PAU	PAU4	406	050
PAU	PAU2	203	013
PAU	PAU2	202	012
PAU	PAU2	204	014
PAU	PAU2	201	011
PAU	PAU2	011	011
PAU	PAU2	012	012
PAU	PAU2	015	015
PAU	PAU2	018	015
PAU	PAU2	036	040
PAU	PAU2	040	040
PAU	PAU2	037	037
PAU	PAU2	039	039
PAU	PAU2	041	041
PAU	PAU2	016	015
PAU	PAU2	017	015
PAU	PAU2	013	013
PAU	PAU2	014	014
PAU	PAU2	205	015
PAU	PAU2	801	041
PAU	PAU2	206	015
PAU	PAU2	019	015
PAU	PAU5D	026	026
PAU	PAU5D	027	026
PAU	PAU5D	025	025
PAU	PAU5D	303	026
PAU	PAU5D	302	026
PAU	PAU7	702	036
PAU	PAU7	703	036
PAU	PAU7	018	038
PAU	PAU7	036	036
PAU	PAU7	040	037
PAU	PAU7	037	037
PAU	PAU7	039	038
PAU	PAU7	038	038
PAU	PAU7	016	039
PAU	PAU7	017	038
PAU	PAU7	701	036
PAU	PAU5A	502	030
PAU	PAU5A	503	029
PAU	PAU5A	028	029
PAU	PAU5A	031	031
PAU	PAU5A	032	032
PAU	PAU5A	029	029
PAU	PAU5A	030	030
PAU	PAU5A	501	031
PAU	PAU10	092	091
PAU	PAU10	091	091
PAU	PAU10	093	091
PAU	PAU10	094	091
PAU	PAU3	301	024
PAU	PAU3	018	018
PAU	PAU3	020	020
PAU	PAU3	023	022
PAU	PAU3	022	022
PAU	PAU3	024	024
PAU	PAU3	019	018
PAU	PAU3	021	020
PAU	PAU6A	608	601
PAU	PAU6A	602	601
PAU	PAU6A	623	601
PAU	PAU6A	622	601
PAU	PAU6A	625	601
PAU	PAU6A	615	601
PAU	PAU6A	613	601
PAU	PAU6A	601	601
PAU	PAU6A	618	601
PAU	PAU6A	614	601
PAU	PAU6A	616	601
PAU	PAU6A	619	601
PAU	PAU6A	609	601
PAU	PAU6A	617	601
PAU	PAU6A	620	601
PAU	PAU6A	607	601
PAU	PAU6A	621	601
PAU	PAU6A	624	601
PAU	PAU6A	603	601
PAU	PAU6A	606	601
PAU	PAU6A	610	601
PAU	PAU6A	612	601
PAU	PAU6A	604	601
PAU	PAU6A	605	601
PAU	PAU6A	611	601
PDO	PDO4	412	051
PDO	PDO4	411	052
PDO	PDO4	410	403
PDO	PDO4	408	401
PDO	PDO4	409	403
PDO	PDO4	407	401
PDO	PDO4	049	049
PDO	PDO4	050	050
